MURABAHA ISLAMIC REVOLVING IMPORT FINANCING ARRANGEMENT,,,,,,,,,,,,,,,
"Total Loan 
,,,,,,,,,,,,,,,
3. Operating expenses (Overhead) per month (estimated and drived from records),,,,,,,,,,,,,,,
Salary Expense," 463,555.36 ",,,,,,,,,,,,,,
Transport Allowances," 51,900.00 ",,,,,,,,,,,,,,
Over Time, 238.24 ,,,,,,,,,,,,,,
Pension Contribution," 46,591.09 ",,,,,,,,,,,,,,
Position Allowance," 5,440.72 ",,,,,,,,,,,,,,
Perdiem Expenses," 20,350.00 ",,,,,,,,,,,,,,
Rent Expense," 100,000.00 ",,,,,,,,,,,,,,
Stationary  & Office Supplies," 12,229.72 ",,,,,,,,,,,,,,
Insurance Expense," 10,095.69 ",,,,,,,,,,,,,,
Membership & Subscriptions Exp," 5,485.68 ",,,,,,,,,,,,,,
Cleaning & Sanitation Expense," 3,350.00 ",,,,,,,,,,,,,,
Licenses & Registration Expens," 16,500.00 ",,,,,,,,,,,,,,
Bank Charges," 3,125.82 ",,,,,,,,,,,,,,
Donations and Chiritable Expen," 20,000.00 ",,,,,,,,,,,,,,
Commission Expenses," 70,000.00 ",,,,,,,,,,,,,,
Travel Expenses," 25,000.00 ",,,,,,,,,,,,,,
Document Reg Authent Expense," 100,000.00 ",,,,,,,,,,,,,,
Delivery and Distribution," 200,000.00 ",,,,,,,,,,,,,,
Labour Loading Unloading," 75,000.00 ",,,,,,,,,,,,,,
Utilities Expense," 3,581.77 ",,,,,,,,,,,,,,
Repair & Maintenance Expense," 3,500.00 ",,,,,,,,,,,,,,
Audit & Accountancy Fee," 6,666.67 ",,,,,,,,,,,,,,
Disposal cost for Disposables," 13,000.00 ",,,,,,,,,,,,,,
Bid Document," 3,000.00 ",,,,,,,,,,,,,,
Stamp Duty & Misc Fees," 120,000.00 ",,,,,,,,,,,,,,
Printing Expense," 6,000.00 ",,,,,,,,,,,,,,
Security Expense," 55,652.16 ",,,,,,,,,,,,,,
SoftWare Expense," 3,962.45 ",,,,,,,,,,,,,,
," 1,444,225.35 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3. Opening balances (Bank) as at July 08/2026,,,,,,,,,,,,,,,
S.N,Bank Name ,Account No,Ending Balance,,,,,,,,,,,,
1,Abay Bank,5226711044853910," 119,355.23 ",,,,,,,,,,,,
2,Abissiniya Bank(23),48538223," 1,658,500.73 ",,,,,,,,,,,,
3,Amhara Bank,9900017309939," 809,802.00 ",,,,,,,,,,,,
4,Awash Bank,1304860864100," 1,661,269.23 ",,,,,,,,,,,,
5,Bunna Bank,1669691000007," 2,489,152.79 ",,,,,,,,,,,,
6,Commercial Bank Of Ethiopia(Paster Branch),1000595155952,"3,348,309.72",,,,,,,,,,,,
7,Commercial Bank Of Ethiopia(E.Fabrica branch),1000355881796,"112,320.30",,,,,,,,,,,,
8,Cooprative Bank Of Oromia,1001900007523," 770,387.93 ",,,,,,,,,,,,
9,Dashin Bank,7920540912511," 1,015,143.96 ",,,,,,,,,,,,
10,Hijra Bank,1003337450002," 2,696,081.66 ",,,,,,,,,,,,
11,Lion Bank,111911117," 146,050.00 ",,,,,,,,,,,,
12,Oromiya International Bank,1407341700001," 183,836.65 ",,,,,,,,,,,,
13,Siinqee Bank S.C,1082606231217," 1,817,494.35 ",,,,,,,,,,,,
14,Zam Zam Bank(301),22764410301, 77.24 ,,,,,,,,,,,,
15,  Tsehay Bank,1008922027," 100,095.00 ",,,,,,,,,,,,
,,Total," 16,927,876.79 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Inventory(Stock) Value as at July 7, 2026: 42000000",,,,,,,,,,,,,,,
